X1,X2,Y
3.5234160163745547,5.570942191516477,0.0
4.312748937714612,7.764298059073276,0.0
1.0698114551090607,5.45736439365238,0.0
1.5174766592479234,7.056417451954127,0.0
3.3487999854516453,5.025977160459452,0.0
4.246424543214872,4.83872520734859,0.0
3.146052594794706,6.13826328996557,0.0
2.1451390576367095,5.236378069278894,0.0
2.5483456337995922,3.8351301812808933,0.0
2.914845927528442,5.989202331417617,0.0
5.223896802481634,8.230027591650417,0.0
4.671253675339685,8.494910397535676,0.0
3.8402680916476846,8.620849742281687,0.0
4.860336342572015,3.9666561149393478,0.0
3.1535137176247394,5.874593245054729,0.0
1.7531978063844305,6.68536558307797,0.0
2.2145223805222,8.460305191815769,0.0
2.5588874691681904,8.585032898595902,0.0
2.0505295227819222,7.78292156531565,0.0
2.8713511782102352,2.5811292542302287,0.0
3.4511675030008395,4.751386445015525,0.0
2.358631863670351,7.147891384544463,0.0
3.545910829694327,6.589410369448375,0.0
5.197835063066494,4.8920162095239785,0.0
2.6188111606842837,7.114293335019185,0.0
3.2522259927945725,5.039618160969236,0.0
2.236031777258263,4.827516025581696,0.0
2.024715406871864,7.406934354628387,0.0
1.6722209013419873,6.319445857903562,0.0
1.8335806006804567,6.9063535972688594,0.0
2.2634504467618934,7.509612595434117,0.0
4.0245684608966,8.558689986968194,0.0
3.698687911171911,6.812013623277066,0.0
4.081733183656295,5.397678902254958,0.0
3.6956826067456996,6.4068299544749525,0.0
2.0295029032260383,6.065719093025494,0.0
2.6403301623966366,6.731943362890512,0.0
3.6878005996859686,4.530609268393614,0.0
3.7040328592231617,6.8533491191923845,0.0
3.7081030615978134,4.614317184417502,0.0
2.511806168197857,6.56726549284566,0.0
1.5697308972782733,7.319817996141773,0.0
3.4500310812200867,5.402627270286513,0.0
3.0120647833918683,8.658507936816633,0.0
3.1866203310600207,5.588555312580768,0.0
2.611589863746214,6.3405658215865675,0.0
2.960000571291348,4.563267522607,0.0
